"","id","original","processed"
"3906","3906","""Republicans would give seniors a (Medicare) voucher that limits what's covered, costing seniors as much as $6,400 more a year.""","republicans would give seniors medicare voucher limits covered costing seniors much 6,400 year kathleen sebelius"
"3907","3907","Bill Nelson voted to confirm Sonia Sotomayor, ""who signed a Supreme Court opinion saying Americans do not have an individual right to own firearms.""","bill nelson voted confirm sonia sotomayor signed supreme court opinion saying americans individual right firearms national rifle association"
"3908","3908","Says Milken Institute rated San Antonio as nation’s top-performing local economy.","says milken institute rated san antonio nation top-performing local economy julián castro"
"3909","3909","""Bill Nelson voted for a ban on millions of commonly owned firearms, which included many popular hunting and target rifles.""","bill nelson voted ban millions commonly owned firearms included many popular hunting target rifles national rifle association"
"3910","3910","Says Mitt Romney has put forward a plan ""that would cut taxes for millionaires while raising them for the middle class.""","says mitt romney put forward plan would cut taxes millionaires raising middle class martin o'malley"
"3911","3911","""Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.""","seven presidents barack obama republicans democrats tried expand health care americans julián castro"
"3912","3912","Says Mitt Romney told university students in Ohio that to start a business, they should ""borrow money if you have to from your parents.""","says mitt romney told university students ohio start business borrow money parents julián castro"
"3913","3913","""The auditor [for the city of Providence] was not locked out"" of access to the city's finances.","the auditor city providence locked access city finances david cicilline"
"3914","3914","""The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state.""","the first state budget came republican leadership slashed funding planned parenthood ... resulted reduction hours elimination days elimination access women city state cory booker"
"3915","3915","Says she was misquoted and ""didn’t say"" that the Israeli ambassador said ""what the Republicans are doing is dangerous for Israel.""","says misquoted say israeli ambassador said republicans dangerous israel debbie wasserman schultz"
"3916","3916","Women ""receive only 77 cents for every dollar a man earns.""","women receive cents every dollar man earns diana degette"
"3917","3917","When it comes to jobless workers, ""Mitt Romney says he likes to fire people.""","when comes jobless workers mitt romney says likes fire people jack markell"
"3918","3918","Says President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.""","says president barack obama gives students right repay federal loans clear fixed low percentage income years bill clinton"
"3919","3919","Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.","says bruce springsteen played seton hall university south orange walsh gym chris christie"
"3920","3920","Says Julie Parrish ""voted to divert $160 million from public schools to private for-profit schools.""","says julie parrish voted divert million public schools private for-profit schools carl hosticka"
"3921","3921","""The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget.""","the senate passed budget three years good budget bad budget budget leonard lance"
"3922","3922","The stimulus program ""cut taxes for 95 percent of the American people.""","the stimulus program cut taxes percent american people bill clinton"
"3923","3923","Says when Mitt Romney was governor, Massachusetts was 47th in job creation","says mitt romney governor massachusetts 47th job creation jeanne shaheen"
"3924","3924","The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""","the obama administration allowing state waivers welfare work requirements credible plan increase employment percent bill clinton"
"3925","3925","Under President Barack Obama’s leadership, ""since June 2009, (the auto) industry has added a quarter of a million jobs.""","under president barack obama leadership since june auto industry added quarter million jobs bob king"
"3926","3926","Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""","says republican party platform says pull back even rules campaign finance reform get rid mccain-feingold democratic party platform says want find way put fair rules campaign finance reform cory booker"
"3927","3927","Says Rush Limbaugh made it clear he’d rather see the country fail than President Barack Obama succeed.","says rush limbaugh made clear rather see country fail president barack obama succeed mark strama"
"3928","3928","Says U.S. Rep. Paul Ryan attacked the president for ""the same amount of Medicare savings that (Ryan) had in his own budget.""","says u.s. rep. paul ryan attacked president amount medicare savings ryan budget bill clinton"
"3929","3929","""After 30 years of inaction, we raised fuel standards so that by the middle of the next decade, cars and trucks will go twice as far on a gallon of gas.""","after years inaction raised fuel standards middle next decade cars trucks twice far gallon gas barack obama"
"3930","3930","Says his budget plan ""would cut our deficits by $4 trillion.""","says budget plan would cut deficits trillion barack obama"
"3931","3931","Mitt Romney ""said it was 'tragic' to end the war in Iraq.""","mitt romney said 'tragic end war iraq barack obama"
"3932","3932","Says Romney called Russia our No. 1 enemy.","says romney called russia enemy barack obama"
"3933","3933","""Jeb Bush recently noted, Reagan himself would have been too moderate, too reasonable for today's GOP.""","jeb bush recently noted reagan would moderate reasonable today gop charlie crist"
"3934","3934","The national debt of $16 trillion, is ""enough to buy both the Cleveland Indians and Cincinnati Reds 1,918 times.""","the national debt trillion enough buy cleveland indians cincinnati reds 1,918 times rob portman"
"3935","3935","On U.S.-Israeli relations, Prime Minister Benjamin Netanyahu ""set the record straight — he said, our two countries have 'exactly the same policy' (and) 'our security cooperation is unprecedented.'""","u.s.-israeli relations prime minister benjamin netanyahu set record straight said two countries 'exactly policy 'our security cooperation unprecedented john kerry"
"3936","3936","""$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.""","trillion national debt bills would cover entire state ohio nearly 1.5 times rob portman"
"3937","3937","When Social Security, Medicare and Medicaid were created, ""Republicans stood on the sidelines""","when social security medicare medicaid created republicans stood sidelines james clyburn"
"3938","3938","""President Obama has no plan to reduce the deficit, let alone pay down the debt.""","president obama plan reduce deficit let alone pay debt connie mack"
"3939","3939","""I've cut taxes for ... middle-class families, small businesses.""","'ve cut taxes ... middle-class families small businesses barack obama"
"3940","3940","The reason 29 states no longer have a death tax ""is that the tax damaged their economic competitiveness.""","the reason states longer death tax tax damaged economic competitiveness yes"
"3941","3941","""The president promised that if he spent money on a stimulus program that unemployment would go to 5.7 percent or 6 percent. Those were his words.""","the president promised spent money stimulus program unemployment would 5.7 percent percent those words jon bramnick"
"3942","3942","The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression.","the u.s. unemployment rate remained percent consecutive months longest stretch since great depression phil gingrey"
"3943","3943","Based on the August 2012 national jobs numbers, ""for every person who got a job, nearly four people stopped looking for a job.""","based august national jobs numbers every person got job nearly four people stopped looking job paul ryan"
"3944","3944","""While Mandel's been busy traveling the country raising campaign money, he hasn't shown up for work.""","while mandel busy traveling country raising campaign money n't shown work sherrod brown"
"3945","3945","""We've doubled our use of renewable energy.""","'ve doubled use renewable energy barack obama"
"3946","3946","Says five studies show his tax plan can cut rates and still bring the same revenue without raising taxes on the middle class.","says five studies show tax plan cut rates still bring revenue without raising taxes middle class mitt romney"
"3947","3947","Says 40 years ago, the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish.","says years ago u.s. placed texas voting rights act failing print ballots spanish terral smith"
"3948","3948","Says he and Mitt Romney ""always said that we agree with the 2014 deadline"" for leaving Afghanistan.","says mitt romney always said agree deadline leaving afghanistan paul ryan"
"3949","3949","""This would be the largest casino in the United States.""","this would largest casino united states still bad idea"
"3950","3950","""Tim Kaine doubled down in his support of devastating defense cuts, saying the ‘the deal was the right thing to do.’""","tim kaine doubled support devastating defense cuts saying deal right thing do. george allen"
"3951","3951","Says that under Mitt Romney, 89 million Americans could be denied coverage if they have a pre-existing condition.","says mitt romney million americans could denied coverage pre-existing condition barack obama"
"3952","3952","Says that ""you can’t destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.""","says destroy guns purchased gun buyback program city memphis wants stacey campfield"
"3953","3953","""We just don't want to get to be like Louisiana, where you have drive-up daiquiri shops.""","n't want get like louisiana drive-up daiquiri shops bill kennemer"
"3954","3954","Deficit spending ‘exploded during the Obama administration’ to $5.3 trillion over four years, compared to $2 trillion in eight years under President George W. Bush.","deficit spending exploded obama administration 5.3 trillion four years compared trillion eight years president george bush ron johnson"
"3955","3955","""The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.""","the truth planned parenthood provide mammograms planned parenthood refers women mammography providers serving middlewoman karen handel"
"3956","3956","Says Romney and Ryan ""both backed proposals that would outlaw abortions even in cases of rape or incest.""","says romney ryan backed proposals would outlaw abortions even cases rape incest barack obama"
"3957","3957","""Obamacare will provide coverage for abortions, despite the president’s commitment that it would not.""","obamacare provide coverage abortions despite president commitment would karen handel"
"3958","3958","""Since 2000, only 10 cases of in-person voter fraud have been proven nationally.""","since cases in-person voter fraud proven nationally naacp"
"3959","3959","Says Obama adviser David Plouffe took ""large piles of cash"" from a joint venture partner of a company owned by Iran’s Revolutionary Guard.","says obama adviser david plouffe took large piles cash joint venture partner company owned iran revolutionary guard secure america now"
"3960","3960","Says the ""number-one source"" of illegal immigration ""is people legally coming to the United States on a tourist visa or a student visa and then disappearing into the population and never being heard from again.""","says number-one source illegal immigration people legally coming united states tourist visa student visa disappearing population never heard rob andrews"
"3961","3961","George Allen ""voted to end Pell Grants for 84,000 students.""","george allen voted end pell grants 84,000 students tim kaine"
"3962","3962","Says he ""will protect your guaranteed benefits"" in Medicare while ""Mitt Romney would take away Medicare as guaranteed benefits.""","says protect guaranteed benefits medicare mitt romney would take away medicare guaranteed benefits barack obama"
"3963","3963","Says U.S. Senate candidate Tommy Thompson ""admitted"" that Washington, D.C., ""changed"" him into an insider selling his influence to make millions from powerful special interests.","says u.s. senate candidate tommy thompson admitted washington d.c. changed insider selling influence make millions powerful special interests democratic senatorial campaign committee"
"3964","3964","Says Congressman Jon Runyan has a ""plan to raise Medicare costs $6,400 a year.""","says congressman jon runyan plan raise medicare costs 6,400 year shelley adler"
"3965","3965","Says ""tax revenues are the lowest they have been since World War II.""","says tax revenues lowest since world war kurt schrader"
"3966","3966","""We need a Senator who shows up to work. Sherrod Brown missed over 350 official votes.""","need senator shows work sherrod brown missed official votes josh mandel"
"3967","3967","The significant drop in Florida’s unemployment rate is a good economic sign.","the significant drop florida unemployment rate good economic sign rick scott"
"3968","3968","""Seven times Obama could have stopped China's cheating. Seven times, he refused.""","seven times obama could stopped china cheating seven times refused mitt romney"
"3969","3969","""Their New York casino deal was called ‘rigged’ and ‘corrupt.’""","their new york casino deal called rigged corrupt. still bad idea"
"3970","3970","""Even today part of Romney’s fortune is invested in China.""","even today part romney fortune invested china barack obama"
"3971","3971","A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.","poll conducted egypt revealed percent egyptians oppose receiving foreign aid united states barry hinckley"
"3972","3972","""Portland Schools spend $500K to deem PB&J sandwiches racist.""","portland schools spend 500k deem sandwiches racist education action group"
"3973","3973","Chinese tire imports threatened 1,000 American jobs, so President Obama ""stood up to China and protected American workers. Mitt Romney attacked Obama's decision.""","chinese tire imports threatened 1,000 american jobs president obama stood china protected american workers mitt romney attacked obama decision barack obama"
"3974","3974","Almost 400 arrests in the city last year for panhandling-related offenses involved just 78 suspects, an indication that the same people are panhandling over and over.","almost arrests city last year panhandling-related offenses involved suspects indication people panhandling michael julian bond"
"3975","3975","Says Mitt Romney’s investments created zero jobs.","says mitt romney investments created zero jobs workers voice"
"3976","3976","Says ""if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.""","says nothing continue let obamacare siphon billion dollars top medicare goes away less years certain accounts falls apart seams jon runyan"
"3977","3977","""Under Obama, families have lost over $4,000 a year in income.""","under obama families lost 4,000 year income mitt romney"
"3978","3978","""Had the online change of address been in place in 2008 an estimated 130,000 voters who cast provisional ballots could have changed their address online and voted a regular ballot.""","had online change address place estimated 130,000 voters cast provisional ballots could changed address online voted regular ballot jon husted"
"3979","3979","""Tea Party Congressman Frank Guinta voted for billions in cuts to veterans programs.""","tea party congressman frank guinta voted billions cuts veterans programs carol shea-porter"
"3980","3980","Says Romney tax plan ""could take away middle-class deductions for child care, mortgages and college tuition.""","says romney tax plan could take away middle-class deductions child care mortgages college tuition barack obama"
"3981","3981","Says U.S. Rep. John Barrow ""left taxpayers on the hook for $950k study on genetic makeup of ants.""","says u.s. rep. john barrow left taxpayers hook 950k study genetic makeup ants national republican congressional committee"
"3982","3982","""Redistribution"" has ""never been a characteristic of America.""","redistribution never characteristic america mitt romney"
"3983","3983","Says ""the governor is going around the state talking about [how] we should fund an income tax cut"" that benefits higher income earners and not lower income earners","says governor going around state talking fund income tax cut benefits higher income earners lower income earners john burzichelli"
"3984","3984","Says Barack Obama's comments indicate he ""believes in redistribution"" of wealth.","says barack obama comments indicate believes redistribution wealth mitt romney"
"3985","3985","""Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent.""","eight million americans dropped work force since barack obama became president ... the real unemployment rate percent restore our future"
"3986","3986","Says Adam Hasner said he will never accept a pay increase, but he voted to raise his pay four times.","says adam hasner said never accept pay increase voted raise pay four times lois frankel"
"3987","3987","Says Rep. Charlie Bass, R-NH voted to ""raise his own pay"" eight times","says rep. charlie bass r-nh voted raise pay eight times ann mclane kuster"
"3988","3988","""Since President Obama took office, over 88,000 Ohio workers have lost their jobs.""","since president obama took office 88,000 ohio workers lost jobs americans for tax reform"
"3989","3989","Says Measures 82 and 83 authorize just one more casino.","says measures authorize one casino yes campaign"
"3990","3990","""Tim Kaine announced he wants to raise taxes on everyone.""","tim kaine announced wants raise taxes everyone george allen"
"3991","3991","Says the government has ""gotten the TARP money back plus a profit.""","says government gotten tarp money back plus profit bill clinton"
"3992","3992","""We have more people working in the state of New Jersey today than we've ever had in our history.""","people working state new jersey today 've ever history jennifer beck"
"3993","3993","""Fast and Furious"" began under the Bush administration.","fast furious began bush administration barack obama"
"3994","3994","Says President Barack Obama is responsible for pending defense cuts.","says president barack obama responsible pending defense cuts mitt romney"
"3995","3995","Says Adam Hasner ""gives the wealthy tax breaks worth $250,000 a year but hikes middle class taxes $2,000.""","says adam hasner gives wealthy tax breaks worth 250,000 year hikes middle class taxes 2,000 lois frankel"
"3996","3996","Says an arts tax would provide ""funding for certified arts and music teachers for every elementary school serving Portland residents.""","says arts tax would provide funding certified arts music teachers every elementary school serving portland residents creative advocacy network"
"3997","3997","Says Obama sent $450 million to China to build a wind farm in Texas.","says obama sent million china build wind farm texas americans for tax reform"
"3998","3998","""In every state, women are paid less than men.""","every state women paid less men national women law center"
"3999","3999","""There is no reason to allocate 60 percent of bridge space to satisfy two percent of all travelers.""","there reason allocate percent bridge space satisfy two percent travelers john charles"
"4000","4000","Says Barack Obama has added $16 trillion to the national debt.","says barack obama added trillion national debt rick perry"
"4001","4001","College tuition ""costs have risen by 25 percent under the Democrats.""","college tuition costs risen percent democrats mitt romney"
"4002","4002","Texas is ""the state that has now gone the longest without electing a Democrat statewide.""","texas state gone longest without electing democrat statewide joaquin castro"
"4003","4003","Says 7,000 millionaires ""gamed the system to pay no income taxes.""","says 7,000 millionaires gamed system pay income taxes tammy baldwin"
"4004","4004","""We haven’t passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year.""","passed budget three years single appropriations bill brought floor year bob corker"
"4005","4005","Says that according to ""many reports and even our own data,"" the state of Texas spent more through Medicaid on orthodontia than all other states combined.","says according many reports even data state texas spent medicaid orthodontia states combined lois kolkhorst"
"4006","4006","Says Obama is only president in history who has deliberately removed the words ""endowed by their Creator"" when referring to the Declaration of Independence.","says obama president history deliberately removed words endowed creator referring declaration independence government not god pac"
"4007","4007","""Barack Hussein Obama will … force doctors to assist homosexuals in buying surrogate babies.""","barack hussein obama force doctors assist homosexuals buying surrogate babies government not god pac"
"4008","4008","""Barack Hussein Obama will ... force local authorities to allow Occupy protesters to live in parks.""","barack hussein obama ... force local authorities allow occupy protesters live parks government not god pac"
"4009","4009","""Taxes are lower on families than they've been probably in the last 50 years.""","taxes lower families 've probably last years barack obama"
"4010","4010","Says ""you cannot implement Paul Ryan’s plan without allowing for any increases in revenue.""","says implement paul ryan plan without allowing increases revenue kasim reed"
"4011","4011","""Barack Hussein Obama will ... force Christian schools to hire non-Christian teachers.""","barack hussein obama ... force christian schools hire non-christian teachers government not god pac"
"4012","4012","""Barack Hussein Obama will .. force Christian organizations to pay for abortions.""","barack hussein obama force christian organizations pay abortions government not god pac"
"4013","4013","Says Texas lawmakers last year expanded public education’s share of state spending.","says texas lawmakers last year expanded public education share state spending joe straus"
"4014","4014","""Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.""","barack hussein obama ... force courts accept islamic sharia law domestic disputes government not god pac"
"4015","4015","Says Ronald Reagan ""was behind in the polls in 1980 going into the debate with Jimmy Carter and then turned around 10 days later and won 40 states.""","says ronald reagan behind polls going debate jimmy carter turned around days later states chris christie"
"4016","4016","""President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.""","president obama decided meet prime minister benjamin netanyahu new york adam hasner"
"4017","4017","Barack Obama ""refuses to acknowledge Jerusalem as the capital of Israel.""","barack obama refuses acknowledge jerusalem capital israel republican jewish coalition"
"4018","4018","""Carol Shea-Porter … wants to increase taxes on small business and job creators.""","carol shea-porter wants increase taxes small business job creators frank guinta"
"4019","4019","Says Bill Nelson ""cast the deciding vote for Obamacare cutting Medicare spending by $700 billion and letting an unelected board decide what gets covered here.""","says bill nelson cast deciding vote obamacare cutting medicare spending billion letting unelected board decide gets covered american crossroads"
"4020","4020","""In Romney's first budget (in Massachusetts), he cut $248.7 million from K-12 education.""","romney first budget massachusetts cut 248.7 million k-12 education barack obama"
"4021","4021","""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""","the income tax started percent governor byrne percent chris christie"
"4022","4022","Says Ted Cruz ""has pledged to eliminate"" the U.S. Department of Education, which would end federal aid to college students.","says ted cruz pledged eliminate u.s. department education would end federal aid college students paul sadler"
"4023","4023","Says Charlie Bass supports Paul Ryan plan that forces seniors to pay $6,400 a year more for health care so millionaires can pay less in taxes.","says charlie bass supports paul ryan plan forces seniors pay 6,400 year health care millionaires pay less taxes house majority pac"
"4024","4024","Says that Josh Mandel voted to let insurance companies deny coverage for autism","says josh mandel voted let insurance companies deny coverage autism national education association"
"4025","4025","""One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.""","one first states union pass voter bill rhode island percent democratic legislature ann coulter"
"4026","4026","U.S. Sen. Sheldon Whitehouse ""rewarded Wall Street executives with millions in bonuses.""","u.s. sen. sheldon whitehouse rewarded wall street executives millions bonuses barry hinckley"
"4027","4027","Rhode Island’s voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""","rhode island voter identification law pushed black democrat house black democrat senate that fact ann coulter"
"4028","4028","Says Tammy Baldwin introduced a bill that would require doctors and other health care workers to ask patients, ""including young children, whether they are gay, lesbian, bisexual, or if they know their gender identity.""","says tammy baldwin introduced bill would require doctors health care workers ask patients including young children whether gay lesbian bisexual know gender identity glenn grothman"
"4029","4029","The Obama administration’s ""green"" stimulus program ""funneled close to $2 billion dollars to overseas firms,"" creating thousands of jobs in China.","the obama administration green stimulus program funneled close billion dollars overseas firms creating thousands jobs china americans for tax reform"
"4030","4030","Says Lois Frankel ""took a 40 percent pay raise"" as mayor while West Palm Beach ""lost jobs.""","says lois frankel took percent pay raise mayor west palm beach lost jobs action fund"
"4031","4031","""We're up 123,000 jobs over the last year and three-quarters. We're actually, according to the Bureau of Labor statistics, down 500 ... auto jobs in Ohio.""","'re 123,000 jobs last year three-quarters 're actually according bureau labor statistics ... auto jobs ohio john kasich"
"4032","4032","""When Congressman Langevin took office, gas was around $1.70 per gallon, and now it is near $4 per gallon.""","when congressman langevin took office gas around 1.70 per gallon near per gallon michael riley"
"4033","4033","""(Barack Obama) says he’s going to reduce the long-term debt and deficit by $4 trillion, doesn’t say how he's going to do it.""","barack obama says going reduce long-term debt deficit trillion say going chris christie"
"4034","4034","Says President Barack Obama ""already passed all these Obamacare taxes. About a dozen of them hit middle-income taxpayers.""","says president barack obama already passed obamacare taxes about dozen hit middle-income taxpayers paul ryan"
"4035","4035","Says fewer than 30 percent of Texas college students graduate in four years and only 58 percent graduate within six years.","says fewer percent texas college students graduate four years percent graduate within six years rick perry"
"4036","4036","""Women who have miscarriages could be investigated by police"" under legislation supported by Republican state Senate candidate Rick Gudex.","women miscarriages could investigated police legislation supported republican state senate candidate rick gudex greater wisconsin committee"
"4037","4037","Signs letter saying Consumer Product Safety Commission is acting ""without consultation or input from the company"" to stop the sale of Buckyballs.","signs letter saying consumer product safety commission acting without consultation input company stop sale buckyballs marsha blackburn"
"4038","4038","Eric Cantor ""took $5 million from Sheldon Adelson,"" a Las Vegas casino owner.","eric cantor took million sheldon adelson las vegas casino owner wayne powell"
"4039","4039","Ben Unger supported a 15 percent property tax increase on Oregon seniors.","ben unger supported percent property tax increase oregon seniors promote oregon leadership pac oregon house republicans"
"4040","4040","Says Eric Cantor voted to assure Congress would be paid if the government shut down and against guaranteeing troops would be paid.","says eric cantor voted assure congress would paid government shut guaranteeing troops would paid wayne powell"
"4041","4041","Says Romney invested in a firm that made goods in China that ""could have been made here in America.""","says romney invested firm made goods china could made america barack obama"
"4042","4042","Says Chris Christie created ""this new category where you could get laid off and just be totally denied unemployment benefits forever.""","says chris christie created new category could get laid totally denied unemployment benefits forever barbara buono"
"4043","4043","The  Georgia Department of Economic Development assisted with the creation of 28,776 jobs, an increase of 29 percent from last fiscal year, and $5.97 billion in investments, a 32 percent increase.","the georgia department economic development assisted creation 28,776 jobs increase percent last fiscal year 5.97 billion investments percent increase nathan deal"
"4044","4044","Says opponent U.S. Rep. Gwen Moore ‘is Wisconsin’s most absent member of Congress, missing nearly 17 percent of the House votes in the second quarter of 2012.’","says opponent u.s. rep. gwen moore wisconsin absent member congress missing nearly percent house votes second quarter 2012. dan sebring"
"4045","4045","Says Bill Nelson sold agricultural land ""for home development, pocketing at least $1.4 million.""","says bill nelson sold agricultural land home development pocketing least 1.4 million american crossroads"
"4046","4046","Sherrod Brown ""voted six times to raise his own pay.""","sherrod brown voted six times raise pay josh mandel"
"4047","4047","Sherrod Brown ""failed to pay his own taxes three separate times.""","sherrod brown failed pay taxes three separate times josh mandel"
"4048","4048","An Army report stated Allen West ""performed illegal acts, merited court martial, faced 11 years in prison.'""","army report stated allen west performed illegal acts merited court martial faced years prison patrick murphy"
"4049","4049","Bill Nelson ""leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $43,000 in taxes just last year.""","bill nelson leased land owned six cows taking advantage agricultural tax loophole dodge 43,000 taxes last year american crossroads"
"4050","4050","President Barack Obama’s ""spending drove us $5 trillion deeper in debt.""","president barack obama spending drove trillion deeper debt american crossroads"
"4051","4051","""This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.""","this president obama said jobless rate would passed stimulus 5.6 percent american crossroads"
"4052","4052","Says President Obama has ""doubled"" the deficit.","says president obama doubled deficit mitt romney"
"4053","4053","Because of Obamacare, ""over the last two years, health care premiums have gone up -- it's true -- but they've gone up slower than any time in the last 50 years.""","because obamacare last two years health care premiums gone true 've gone slower time last years barack obama"
"4054","4054","Says 50 million people would lose their health insurance if Obamacare is repealed.","says million people would lose health insurance obamacare repealed barack obama"
"4055","4055","Obama says he’s ""put forward a specific $4 trillion deficit reduction plan.""","obama says put forward specific trillion deficit reduction plan barack obama"
"4056","4056","Romney ""would turn Medicare into a voucher program.""","romney would turn medicare voucher program barack obama"
"4057","4057","Says his deficit plan ""made some adjustments to (Simpson-Bowles), and we're putting it forward before Congress right now, a $4 trillion plan.""","says deficit plan made adjustments simpson-bowles 're putting forward congress right trillion plan barack obama"
"4058","4058","Romney’s Medicare plan was estimated to ""cost the average senior about $6,000 a year.""","romney medicare plan estimated cost average senior 6,000 year barack obama"
"4059","4059","Massachusetts schools ""are ranked No. 1 of all 50 states.""","massachusetts schools ranked states mitt romney"
"4060","4060","Says Romney wants to add $2 trillion to the defense budget that the military hasn’t asked for.","says romney wants add trillion defense budget military asked barack obama"
"4061","4061","""In one year, (President Obama) provided $90 billion in breaks to the green energy world … into solar and wind, to Solyndra and Fisker and Tesla and Ener1.""","one year president obama provided billion breaks green energy world solar wind solyndra fisker tesla ener1 mitt romney"
"4062","4062","""Right now, the (Congressional Budget Office) says up to 20 million people will lose their insurance as Obamacare goes into effect next year.""","right congressional budget office says million people lose insurance obamacare goes effect next year mitt romney"
"4063","4063","Says Obama promised to cut the deficit in half.","says obama promised cut deficit half mitt romney"
"4064","4064","Says Mitt Romney's plan ""calls for a $5 trillion tax cut.""","says mitt romney plan calls trillion tax cut barack obama"
"4065","4065","The federal tax code has ""loopholes that are giving incentives for companies that are shipping jobs overseas.""","the federal tax code loopholes giving incentives companies shipping jobs overseas barack obama"
"4066","4066","""Under Gov. Romney's definition ... Donald Trump is a small business.""","under gov romney definition ... donald trump small business barack obama"
"4067","4067","""On Medicare for current retirees, he's cutting $716 billion from the program.""","medicare current retirees cutting billion program mitt romney"
"4068","4068","""Pre-existing conditions are covered under my (health care) plan.""","pre-existing conditions covered health care plan mitt romney"
"4069","4069","Says under U.S. Sen. Robert Menendez’s watch the nation’s unemployment rate and debt doubled and the federal budget deficit quadrupled.","says u.s. sen. robert menendez watch nation unemployment rate debt doubled federal budget deficit quadrupled joseph kyrillos"
"4070","4070","Says Paul Ryan’s budget plan ""ends Medicare.""","says paul ryan budget plan ends medicare rob zerban"
"4071","4071","""When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against women’s health care in our state.""","when joe kyrillos opportunity vote women terms health care twice six times voted women health care state robert menendez"
"4072","4072","""Repealing and replacing Obamacare – that’s going to save $1 trillion over a 10-year period.""","repealing replacing obamacare going save trillion 10-year period george allen"
"4073","4073","Says Bill Young ""voted twice for the Ryan budget that ends the current Medicare system.""","says bill young voted twice ryan budget ends current medicare system jessica ehrlich"
"4074","4074","""The poverty rate amongst women is the worst it’s been in 17 years and the extreme poverty rate is the worst it’s ever been.""","the poverty rate amongst women worst years extreme poverty rate worst ever george allen"
"4075","4075","Says U.S. Senate rival Tammy Baldwin supports a ""tax increase that President Obama says"" would cost middle-class families $3,000 per year.","says u.s. senate rival tammy baldwin supports tax increase president obama says would cost middle-class families 3,000 per year tommy thompson"
"4076","4076","Says Mitt Romney plans to ""fire"" Big Bird.","says mitt romney plans fire big bird barack obama"
"4077","4077","""As governor, I cut $5 billion in spending.""","governor cut billion spending tim kaine"
"4078","4078","Says Romney wants to ""take away early childhood education, slash K-12 funding, and cut college aid … to pay for a $250,000 tax break for multi-millionaires.""","says romney wants take away early childhood education slash k-12 funding cut college aid pay 250,000 tax break multi-millionaires priorities usa action"
"4079","4079","""Sherrod Brown supported President Obama's $453 billion tax increase.""","sherrod brown supported president obama billion tax increase crossroads gps"
"4080","4080","""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""","david cicilline state representative opposed tough mandatory sentences convicted domestic violence child abuse brendan doherty"
"4081","4081","""Under the Obama administration, we are drilling and producing more domestic energy supplies than we ever had before.""","under obama administration drilling producing domestic energy supplies ever james langevin"
"4082","4082","Says President Barack Obama ""did not come into office with the economy in a free fall.""","says president barack obama come office economy free fall ron johnson"
"4083","4083","Says Rep. Jon Runyan ""voted to redefine rape.""","says rep. jon runyan voted redefine rape shelley adler"
"4084","4084","Says the U.S. Senate has passed ""a budget"" over the last three years ""called the Budget Control Act.""","says u.s. senate passed budget last three years called budget control act robert menendez"
"4085","4085","Says Jim Renacci has ""consistently voted"" for loopholes that ""encourage outsourcing of our jobs.""","says jim renacci consistently voted loopholes encourage outsourcing jobs betty sutton"
"4086","4086","Says ""when I voted against [an increase in the minimum wage], it was in the 80s.""","says voted increase minimum wage 80s joseph kyrillos"
"4087","4087","Says Mitt Romney and George Allen ""would overturn Roe v. Wade and allow states to end safe, legal abortion even in cases of rape, incest or when a woman's life is at risk.""","says mitt romney george allen would overturn roe wade allow states end safe legal abortion even cases rape incest woman life risk planned parenthood"
